"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Diet","FAD_Ma","LAD_Ma","Body_mass_mg","Body_mass_g","Brain_volume_cm3","Brain_volume_mm3","Olfactory_bulbs_mm3","Neocortex_surface_mm2","Brain_surface_mm2","OB_percentage","Neorcortex_surface_percentage","Collection.number","Status","NALMA.SALMA.ELMA.ALMA","PEQ","predicted","residuals"
"Hyopsodus_paulus","Hy_pa","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene","Herbivorous",49.25,48.6,1067750,1067.75,3.41861,3418.61,282.813,240.243,1775.62,8.272748281,13.5300909,"USNM 17980","segmented","Bridgerian Br2",0.17215020146297,0.824067321246996,-0.290217762570565
"Hyopsodus_lepidus","Hy_le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene","Herbivorous",52.1,47.9,457000,457,2.79,2790,240,NA,1610.64,8.602150538,NA,"AMNH FM 143783","literature","Bridgerian",0.223815113514734,0.621840092832737,-0.17623588955914
"Palaeosyops_robustus","Pa_ro","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",48.6,47.9,427080900,427080.9,220,220000,NA,NA,NA,NA,NA,"AMNH 1544","literature","Bridgerian Br3",0.413739462695982,2.25182102270606,0.0906016581161473
"Mesatirhinus_junius","Me_ju","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",52.1,47.9,399015660,399015.66,187.5,187500,NA,NA,NA,NA,NA,"PM VPPU 010041/AM 39558","literature","Bridgerian",0.366018835746183,2.23562312491728,0.0373781471464616
"Hyrachyus_modestus","Hy_mo","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",49.25,48.6,62220394.46,62220.39446,76.5225,76522.5,6040.05,3081.47,15431.4,7.893168676,19.96882979,"AMNH FM 12664","segmented","Bridgerian Br2",0.414121660082278,1.79278649492126,0.0910026551228258
"Homacodon_vagans","Ho_va","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",48.6,47.9,1220910,1220.91,9.5,9500,NA,613.82,NA,NA,NA,"AMNH 12695","literature","Bridgerian Br3",0.44446667775026,0.856009696023806,0.121713909265042
"Protylopus_sp.","Pr_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",47.9,37.8,2600000,2600,13,13000,NA,NA,NA,NA,NA,"FM P 12203","literature","Uintan-Duchesnean",0.401721082562208,1.03614402433479,0.0777993279720512
"Eotylopus_sp.","Eo_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",39.8,33.9,1e+07,10000,22,22000,NA,NA,NA,NA,NA,"UT 40504-1","literature","Duchesnean-Chadronian",0.324635993422251,1.35715130523131,-0.0147286244090992
"Dacrytherium_sp.","Da_sp","Eocene","Eocene crown clades","late middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",40.1,35,1.2e+07,12000,35,35000,NA,NA,NA,NA,NA,"MH (1091) - Paris","literature","Robiacian and Headonian (MP16-MP18)",0.467299004686911,1.40059848221646,0.143469562133812
"Leptotragulus_sp.","Le_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",47.9,35.2,8817500,8817.5,21.417,21417,960,NA,NA,4.482420507,NA,"AMNH 107976","literature","early Uintan (Ui1)-Ch2",0.338627217696136,1.32716206878174,0.00359656789651752
"Agriochoerus_sp.","Ag_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",45.3,35.2,11634000,11634,33.0031,33003.1,1643,1606.2,7408.4,4.978320218,21.68079477,"AMNH 95330","literature","late Uintan (Ui2)-Ch2",0.448190693562528,1.39321719484627,0.125337540475924
"Cebochoerus_sp.","Ce_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",43.4,35,4627500,4627.5,17.2,17200,1200,NA,NA,6.976744186,NA,NA,"literature","Robiacian and Headonian (MP14-MP18)",0.387372385667694,1.17352508409759,0.0620033628099552
"Trogosus_hillsii_Legendre","Tr_hi_Le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",52.1,47.9,96274134.48,96274.13448,61.0212,61021.2,4428.85,1313.58,12676.3,7.257887423,10.36248748,"USNM 17157","segmented","Bridgerian",0.259894860815844,1.89680834256255,-0.111327598642359
