"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Diet","Neocortex_surface_mm2","Brain_surface_mm2"
"Ectoganus_copei","Ec_co","Eocene","Eocene archaic taxa","early Eocene","early Eocene","Taeniodonta","Taeniodonta","Eocene archaic taxa","early Eocene","Herbivorous",692.47,8864.3
"Hyopsodus_paulus","Hy_pa","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene","Herbivorous",240.243,1775.62
"Hyrachyus_modestus","Hy_mo","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",3081.47,15431.4
"Meniscotherium_chamense","Me_ch","Eocene","Eocene archaic taxa","early Eocene","early Eocene","Phenacodontidae","Phenacodontidae","Eocene archaic taxa","early Eocene","Herbivorous",637.69,4364.99
"Diacodexis_ilicis","Di_il","Eocene","Eocene crown clades","early Eocene","early Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","early Eocene","Herbivorous",404.34,1926.37
"Anoplotherium_sp.","An_sp","Eocene","Eocene crown clades","late Eocene","late Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","late Eocene","Herbivorous",4419.56,19534.2
"Dichobune_leporina","Di_le","Eocene","Eocene crown clades","late Eocene","late Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","late Eocene","Herbivorous",1107.44,5093
"Agriochoerus_sp.","Ag_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",1606.2,7408.4
"Mouillacitherium_elegans","Mo_el","Eocene","Eocene crown clades","late Eocene","late Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","late Eocene","Herbivorous",567.14,2477.52
"Trogosus_hillsii_Legendre","Tr_hi_Le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",1313.58,12676.3
"Trogosus_hillsii_Damuth_area","Tr_hi_DA","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",1313.58,12676.3
"Trogosus_hillsii_Damuth_length","Tr_hi_DL","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",1313.58,12676.3
"Metacheiromys_marshi","Me_ma","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Metacheiromys marshi","Metacheiromys marshi","Eocene archaic taxa","middle Eocene","Herbivorous",307.182,2678.25
"Sinopa_lania","Si_la","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",893.27,4560.47
"Prohesperocyon_wilsoni","Pr_wi","Eocene","Eocene crown clades","late Eocene","late Eocene","Carnivora","Carnivora","Eocene crown clades","late Eocene","Omnivorous-Carnivorous",6308.2,17621
"Dinictis_felina","Di_fe","Eocene","Eocene crown clades","late Eocene","late Eocene","Carnivora","Carnivora","Eocene crown clades","late Eocene","Omnivorous-Carnivorous",5045.6,12460.7
"Miacis_sylvestris","Mi_sy","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",951.488,4202.62
"Oodectes_herpestoides","Oo_he","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",708.3,2845.9
"Viverravus_minutus","Vi_mi","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",219.862,1374.83
"Vulpavus_profectus","Vu_pr","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",850.02,3987
"Vulpavus_ovatus","Vu_ov","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",1069.42,4196.5
