"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Diet","Body_mass_mg","Brain_volume_mm3","Olfactory_bulbs_mm3","PEQ","predicted","residuals"
"Hyopsodus_paulus","Hy_pa","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene","Herbivorous",1067750,3418.61,282.813,0.286154478098901,2.35232974549755,0.0991696232005133
"Hyopsodus_lepidus","Hy_le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene","Herbivorous",457000,2790,240,0.296768555879859,2.26522428343722,0.114986958274383
"Hyrachyus_modestus","Hy_mo","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",62220394.46,76522.5,6040.05,0.284210222784217,3.68483173750423,0.0962087962550124
"Leptotragulus_sp.","Le_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",8817500,21417,960,0.15876590622219,3.13894489529831,-0.156673662258743
"Agriochoerus_sp.","Ag_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",11634000,33003.1,1643,0.177318193027494,3.32431517196425,-0.108677608529185
"Cebochoerus_sp.","Ce_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",4627500,17200,1200,0.246415108613757,3.04494482419877,0.0342364218488527
"Trogosus_hillsii_Legendre","Tr_hi_Le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",96274134.48,61021.2,4428.85,0.260572548000169,3.58779321235187,0.0584977591328273
"Trogosus_hillsii_Damuth_area","Tr_hi_DA","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",97378821.46,61021.2,4428.85,0.260572548000169,3.58779321235187,0.0584977591328273
"Trogosus_hillsii_Damuth_length","Tr_hi_DL","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",66405641.55,61021.2,4428.85,0.260572548000169,3.58779321235187,0.0584977591328273
"Metacheiromys_marshi","Me_ma","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Metacheiromys marshi","Metacheiromys marshi","Eocene archaic taxa","middle Eocene","Herbivorous",713360,6641.68,425.832,0.223684967978993,2.63703241273144,-0.00779411847264377
"Uintatherium_anceps","Ui_an","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene","Herbivorous",1037055170,3e+05,41000,0.500858631020847,4.27049958253775,0.342284274181981
"Tetheopsis_ingens","Te_in","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene","Herbivorous",6270204030,365000,11000,0.110726753869033,4.35457100348314,-0.313178318324919
"Cynohyaenodon_cayluxi","Cy_ca","Eocene","Eocene archaic taxa","middle to late Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",1358890,8300,500,0.210774836530868,2.73258215961672,-0.0336121552806983
"Sinopa_lania","Si_la","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",4188520,11603.6,501.146,0.151767235936247,2.87621715746494,-0.176252889168131
"Miacis_sylvestris","Mi_sy","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",1156670,8445.66,321.04,0.133030124860702,2.74004006431303,-0.233480917587249
"Oodectes_herpestoides","Oo_he","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",1172230,7644.4,378.898,0.173238399418781,2.69730906740729,-0.118786754534661
"Viverravus_minutus","Vi_mi","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",313200,2028.99,169.298,0.286679071697461,2.12868676572176,0.0999650618845549
"Vulpavus_profectus","Vu_pr","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",2573270,12066,908.196,0.264631771122209,2.89296851480729,0.0652110699832127
"Vulpavus_ovatus","Vu_ov","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",3787570,12358,1057.11,0.300837419248339,2.90321924003569,0.120900941129252
