"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Diet","FAD_Ma","LAD_Ma","Body_mass_mg","Body_mass_g","Brain_volume_cm3","Brain_volume_mm3","Olfactory_bulbs_mm3","Neocortex_surface_mm2","Brain_surface_mm2","OB_percentage","Neorcortex_surface_percentage","Collection.number","Status","NALMA.SALMA.ELMA.ALMA","PEQ","predicted","residuals"
"Hyopsodus_paulus","Hy_pa","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene","Herbivorous",49.25,48.6,1067750,1067.75,3.41861,3418.61,282.813,240.243,1775.62,8.272748281,13.5300909,"USNM 17980","segmented","Bridgerian Br2",0.145686933521803,0.828743639319446,-0.294894080643015
"Hyopsodus_lepidus","Hy_le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene","Herbivorous",52.1,47.9,457000,457,2.79,2790,240,NA,1610.64,8.602150538,NA,"AMNH FM 143783","literature","Bridgerian",0.196136850604342,0.611359675337932,-0.165755472064334
"Palaeosyops_robustus","Pa_ro","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",48.6,47.9,427080900,427080.9,220,220000,NA,NA,NA,NA,NA,"AMNH 1544","literature","Bridgerian Br3",0.273672623086139,2.36350610254552,-0.0210834217233153
"Mesatirhinus_junius","Me_ju","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",52.1,47.9,399015660,399015.66,187.5,187500,NA,NA,NA,NA,NA,"PM VPPU 010041/AM 39558","literature","Bridgerian",0.242785004695551,2.3460941879527,-0.0730929158889579
"Hyrachyus_modestus","Hy_mo","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",49.25,48.6,62220394.46,62220.39446,76.5225,76522.5,6040.05,3081.47,15431.4,7.893168676,19.96882979,"AMNH FM 12664","segmented","Bridgerian Br2",0.296508068975646,1.87006737999214,0.0137217700519419
"Homacodon_vagans","Ho_va","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",48.6,47.9,1220910,1220.91,9.5,9500,NA,613.82,NA,NA,NA,"AMNH 12695","literature","Bridgerian Br3",0.374074604952351,0.863080064252996,0.114643541035852
"Protylopus_sp.","Pr_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",47.9,37.8,2600000,2600,13,13000,NA,NA,NA,NA,NA,"FM P 12203","literature","Uintan-Duchesnean",0.327750046867362,1.05671528659394,0.0572280657128956
"Eotylopus_sp.","Eo_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",39.8,33.9,1e+07,10000,22,22000,NA,NA,NA,NA,NA,"UT 40504-1","literature","Duchesnean-Chadronian",0.25058533160183,1.40178175333731,-0.0593590725151052
"Dacrytherium_sp.","Da_sp","Eocene","Eocene crown clades","late middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",40.1,35,1.2e+07,12000,35,35000,NA,NA,NA,NA,NA,"MH (1091) - Paris","literature","Robiacian and Headonian (MP16-MP18)",0.35801193979473,1.44848525429957,0.0955827900507065
"Leptotragulus_sp.","Le_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",47.9,35.2,8817500,8817.5,21.417,21417,960,NA,NA,4.482420507,NA,"AMNH 107976","literature","early Uintan (Ui1)-Ch2",0.262741394117547,1.36954485256334,-0.038786215885084
"Agriochoerus_sp.","Ag_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",45.3,35.2,11634000,11634,33.0031,33003.1,1643,1606.2,7408.4,4.978320218,21.68079477,"AMNH 95330","literature","late Uintan (Ui2)-Ch2",0.343810161966795,1.44055074656586,0.0780039887563329
