"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Body_mass_mg","Brain_volume_mm3","Olfactory_bulbs_mm3","PEQ","predicted","residuals"
"Hyopsodus_paulus","Hy_pa","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene",1067750,3418.61,282.813,0.190137124427623,2.15100386659342,0.300495502104646
"Hyopsodus_lepidus","Hy_le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene",457000,2790,240,0.202572505914412,2.05220219990631,0.328009041805292
"Hyrachyus_modestus","Hy_mo","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene",62220394.46,76522.5,6040.05,0.125078300480097,3.66242937953043,0.118611154228817
"Leptotragulus_sp.","Le_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene",8817500,21417,960,0.0827178922167937,3.04324283764456,-0.0609716046049904
"Agriochoerus_sp.","Ag_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene",11634000,33003.1,1643,0.0872377754951278,3.2535039608352,-0.0378663974001352
"Cebochoerus_sp.","Ce_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene",4627500,17200,1200,0.132169599380032,2.93662077889343,0.142560467154198
"Trogosus_hillsii_Legendre","Tr_hi_Le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",96274134.48,61021.2,4428.85,0.118168292055556,3.55236087416768,0.0939300973170183
"Trogosus_hillsii_Damuth_area","Tr_hi_DA","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",97378821.46,61021.2,4428.85,0.118168292055556,3.55236087416768,0.0939300973170183
"Trogosus_hillsii_Damuth_length","Tr_hi_DL","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",66405641.55,61021.2,4428.85,0.118168292055556,3.55236087416768,0.0939300973170183
"Metacheiromys_marshi","Me_ma","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Metacheiromys marshi","Metacheiromys marshi","Eocene archaic taxa","middle Eocene",713360,6641.68,425.832,0.136105041574773,2.47393537246718,0.15530292179161
"Uintatherium_anceps","Ui_an","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene",1037055170,3e+05,41000,0.183914443271525,4.32673857261272,0.286045284107017
