Species,Abbreviations,Period,Group,Period2,Period3,Order,Order2,Group2,Age2,Diet,FAD_Ma,LAD_Ma,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,Neorcortex_surface_percentage,Collection number,Status,NALMA/SALMA/ELMA/ALMA
Coryphodon_hamatus,Co_ha,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Pantodonta,Pantodonta,Eocene archaic taxa,early Eocene,Herbivorous,55,54.5,425568670,425568.67,93,93000,6000,NA,NA,6.451612903,NA,YPM 11330,literature,Wasatchian (Wa3)
Coryphodon_elephantopus,Co_el,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Pantodonta,Pantodonta,Eocene archaic taxa,early Eocene,Herbivorous,54.5,53,463836680,463836.68,90,90000,4000,NA,NA,4.444444444,NA,USNM 111,literature,Wasatchian (Wa4-Wa6)
Ectoganus_copei,Ec_co,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Taeniodonta,Taeniodonta,Eocene archaic taxa,early Eocene,Herbivorous,55,53.3,53394970,53394.97,38.9506,38950.6,4335.68,692.47,8864.3,11.13122776,7.811897161,USNM 12714,segmented,Wasatchian Wa3-Wa5
Hyopsodus_paulus,Hy_pa,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Hyopsodus,Hyopsodus,Eocene archaic taxa,middle Eocene,Herbivorous,49.25,48.6,1067750,1067.75,3.41861,3418.61,282.813,240.243,1775.62,8.272748281,13.5300909,USNM 17980,segmented,Bridgerian Br2
Hyopsodus_lepidus,Hy_le,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Hyopsodus,Hyopsodus,Eocene archaic taxa,middle Eocene,Herbivorous,52.1,47.9,457000,457,2.79,2790,240,NA,1610.64,8.602150538,NA,AMNH FM 143783,literature,Bridgerian
Hyopsodus_miticulus,Hy_mi,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Hyopsodus,Hyopsodus,Eocene archaic taxa,early Eocene,Herbivorous,54,52.1,630000,630,3.2,3200,140,NA,NA,4.375,NA,USNM 23745,literature,Wasatchian Wa5-Wa7
Xenicohippus_osborni,Xe_os,Eocene,Eocene crown clades,early Eocene,early Eocene,Perissodactyla,Perissodactyla,Eocene crown clades,early Eocene,Herbivorous,55.5,52.1,16000000,16000,29.4,29400,2690,NA,NA,9.149659864,NA,AMNH 55267,literature,Wasatchian Wa2-Wa7
Hyracotherium_sp.,Hy_sp,Eocene,Eocene crown clades,early Eocene,early Eocene,Perissodactyla,Perissodactyla,Eocene crown clades,early Eocene,Herbivorous,56,52.1,12306770,12306.77,25,25000,NA,NA,NA,NA,NA,AMNH 55268,literature,Wasatchian
Heptodon_posticus,He_po,Eocene,Eocene crown clades,early Eocene,early Eocene,Perissodactyla,Perissodactyla,Eocene crown clades,early Eocene,Herbivorous,53,52.1,26545630,26545.63,44.5,44500,NA,NA,NA,NA,NA,MCZ 17670,literature,late Wasatchian Wa7
Amynodon_advenus,Am_ad,Eocene,Eocene crown clades,late Eocene,late Eocene,Perissodactyla,Perissodactyla,Eocene crown clades,late Eocene,Herbivorous,47.9,39.8,358835080,358835.08,235,235000,NA,NA,NA,NA,NA,YPM 11453,literature,Uintan
Palaeosyops_robustus,Pa_ro,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Perissodactyla,Perissodactyla,Eocene crown clades,middle Eocene,Herbivorous,48.6,47.9,427080900,427080.9,220,220000,NA,NA,NA,NA,NA,AMNH 1544,literature,Bridgerian Br3
Mesatirhinus_junius,Me_ju,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Perissodactyla,Perissodactyla,Eocene crown clades,middle Eocene,Herbivorous,52.1,47.9,399015660,399015.66,187.5,187500,NA,NA,NA,NA,NA,PM VPPU 010041/AM 39558,literature,Bridgerian
Hyrachyus_modestus,Hy_mo,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Perissodactyla,Perissodactyla,Eocene crown clades,middle Eocene,Herbivorous,49.25,48.6,62220394.46,62220.39446,76.5225,76522.5,6040.05,3081.47,15431.4,7.893168676,19.96882979,AMNH FM 12664,segmented,Bridgerian Br2
Meniscotherium_chamense,Me_ch,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Phenacodontidae,Phenacodontidae,Eocene archaic taxa,early Eocene,Herbivorous,53,50.05,6690110,6690.11,11.0347,11034.7,535.529,637.69,4364.99,4.853136016,14.60919727,USNM 22673,segmented,late Wasatchian Wa7-Br1a
Phenacodus_wortmani,Ph_wo,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Phenacodontidae,Phenacodontidae,Eocene archaic taxa,early Eocene,Herbivorous,55,53.3,10971230,10971.23,16.1928,16192.8,1203.014,NA,NA,7.429314263,NA,AMNH FM 4378,segmented,Wasatchian Wa3-Wa5
Phenacodus_primaevus,Ph_pr,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Phenacodontidae,Phenacodontidae,Eocene archaic taxa,early Eocene,Herbivorous,55,53.3,42427080,42427.08,31,31000,2800,NA,NA,9.032258065,NA,AMNH 4367,literature,Wasatchian Wa3-Wa5
Homacodon_vagans,Ho_va,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,middle Eocene,Herbivorous,48.6,47.9,1220910,1220.91,9.5,9500,NA,613.82,NA,NA,NA,AMNH 12695,literature,Bridgerian Br3
Diacodexis_ilicis,Di_il,Eocene,Eocene crown clades,early Eocene,early Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,early Eocene,Herbivorous,56,54.5,829500,829.5,4.7,4700,320,404.34,1926.37,6.808510638,20.98973717,AMNH VP 16141,literature,Wasatchian Wa0-Wa3
Bathygenys_reevesi,Ba_re,Eocene,Eocene crown clades,late Eocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,37.8,36.2,2389970,2389.97,14.36,14360,455,NA,NA,3.168523677,NA,TMM 40209-198,literature,early Chadronian Ch1
Protylopus_sp.,Pr_sp,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,middle Eocene,Herbivorous,47.9,37.8,2600000,2600,13,13000,NA,NA,NA,NA,NA,FM P 12203,literature,Uintan-Duchesnean
Eotylopus_sp.,Eo_sp,Eocene,Eocene crown clades,middle to late Eocene,middle Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,middle Eocene,Herbivorous,39.8,33.9,10000000,10000,22,22000,NA,NA,NA,NA,NA,UT 40504-1,literature,Duchesnean-Chadronian
Diplobune_sp.,Di_sp,Eocene,Eocene crown clades,late Eocene to early Oligocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,37,30,40000000,40000,53,53000,NA,NA,NA,NA,NA,MH (1092) - Paris,literature,Headonian and Suevian (MP18-MP23)
Dacrytherium_sp.,Da_sp,Eocene,Eocene crown clades,late middle to late Eocene,middle Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,middle Eocene,Herbivorous,40.1,35,12000000,12000,35,35000,NA,NA,NA,NA,NA,MH (1091) - Paris,literature,Robiacian and Headonian (MP16-MP18)
Anoplotherium_sp.,An_sp,Eocene,Eocene crown clades,late Eocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,37,33.75,82000000,82000,138.99,138990,5285.78,4419.56,19534.2,3.802993021,22.62472996,MH (1092) - Paris,literature,Headonian (MP18-MP20)
Protoreodon_petersoni,Pr_pe,Eocene,Eocene crown clades,late Eocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,42.8,39.8,7549060,7549.06,24,24000,NA,NA,NA,NA,NA,UT 31281-4,literature,Uintan Ui3
Robiacina_lavergnensis,Ro_la,Eocene,Eocene crown clades,late Eocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,37.8,33.9,397000,397,2.5,2500,90,NA,NA,3.6,NA,UM2 ACQ 69,literature,lower Ludian (used Priabonian)
Dichobune_leporina,Di_le,Eocene,Eocene crown clades,late Eocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,37.8,33.9,4556000,4556,15.8949,15894.9,1137.78,1107.44,5093,7.158145065,21.744355,MNHN Qu 16586,literature,?upper Ludian (used Priabonian)
Leptotragulus_sp.,Le_sp,Eocene,Eocene crown clades,middle to late Eocene,middle Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,middle Eocene,Herbivorous,47.9,35.2,8817500,8817.5,21.417,21417,960,NA,NA,4.482420507,NA,AMNH 107976,literature,early Uintan (Ui1)-Ch2
Agriochoerus_sp.,Ag_sp,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,middle Eocene,Herbivorous,45.3,35.2,11634000,11634,33.0031,33003.1,1643,1606.2,7408.4,4.978320218,21.68079477,AMNH 95330,literature,late Uintan (Ui2)-Ch2
Mouillacitherium_elegans,Mo_el,Eocene,Eocene crown clades,late Eocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,37.8,37.5,863500,863.5,6.92577,6925.77,505,567.14,2477.52,7.291608009,22.89143983,UM2 ACQ 6625,literature,Headonian (MP17a-MP17b)
Tapirulus_hyracinus,Ta_hy,Eocene,Eocene crown clades,late Eocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,37,33.9,2250000,2250,10.707,10707,800,NA,NA,7.471747455,NA,MNHN 1893-11,literature,Headonian (MP18-?)
Cebochoerus_sp.,Ce_sp,Eocene,Eocene crown clades,middle to late Eocene,middle Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,middle Eocene,Herbivorous,43.4,35,4627500,4627.5,17.2,17200,1200,NA,NA,6.976744186,NA,NA,literature,Robiacian and Headonian (MP14-MP18)
Oxacron_sp.,Ox_sp,Eocene,Eocene crown clades,late Eocene,late Eocene,Artiodactyla,Artiodactyla,Eocene crown clades,late Eocene,Herbivorous,35,33.9,576000,576,1.9,1900,NA,NA,NA,NA,NA,NA,literature,Headonian (MP19-?)
Eoryctes_melanus,Eo_me,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Eoryctes melanus,Eoryctes melanus,Eocene archaic taxa,early Eocene,NA,55.5,54.5,66980,66.98,0.96,960,160,NA,NA,16.66666667,NA,UM 68074,literature,Wasatchian Wa2-Wa3
Trogosus_hillsii_Legendre,Tr_hi_Le,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Trogosus hillsii,Trogosus hillsii,Trogosus hillsii,Trogosus hillsii,Herbivorous,52.1,47.9,96274134.48,96274.13448,61.0212,61021.2,4428.85,1313.58,12676.3,7.257887423,10.36248748,USNM 17157,segmented,Bridgerian
Trogosus_hillsii_Damuth_area,Tr_hi_DA,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Trogosus hillsii,Trogosus hillsii,Trogosus hillsii,Trogosus hillsii,Herbivorous,52.1,47.9,97378821.46,97378.82146,61.0212,61021.2,4428.85,1313.58,12676.3,7.257887423,10.36248748,USNM 17157,segmented,Bridgerian
Trogosus_hillsii_Damuth_length,Tr_hi_DL,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Trogosus hillsii,Trogosus hillsii,Trogosus hillsii,Trogosus hillsii,Herbivorous,52.1,47.9,66405641.55,66405.64155,61.0212,61021.2,4428.85,1313.58,12676.3,7.257887423,10.36248748,USNM 17157,segmented,Bridgerian
Metacheiromys_marshi,Me_ma,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Metacheiromys marshi,Metacheiromys marshi,Eocene archaic taxa,middle Eocene,Herbivorous,52.1,47.9,713360,713.36,6.64168,6641.68,425.832,307.182,2678.25,6.411510341,11.46950434,USNM 452349,segmented,Bridgerian
Mesonyx_obtusidens,Me_ob,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Mesonyx obtusidens,Mesonyx obtusidens,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,49.25,48.6,97372750,97372.75,80,80000,NA,NA,NA,NA,NA,YPM 13141,literature,Bridgerian Br2
Uintatherium_anceps,Ui_an,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Dinocerata,Dinocerata,Eocene archaic taxa,middle Eocene,Herbivorous,49.25,39.8,1037055170,1037055.17,300,300000,41000,NA,NA,13.66666667,NA,YPM 11036,literature,Br2-Ui3
Tetheopsis_ingens,Te_in,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Dinocerata,Dinocerata,Eocene archaic taxa,middle Eocene,Herbivorous,47.9,42.8,6270204030,6270204.03,365,365000,11000,NA,NA,3.01369863,NA,YPM 11041,literature,early Uintan Ui1-Ui2
Thinocyon_velox,Th_ve,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Creodonta,Creodonta,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,52.1,47.9,964130,964.13,6,6000,NA,NA,NA,NA,NA,AMNH 12631,literature,Bridgerian Br1-Br3
Tritemnodon_agilis,Tr_ag,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Creodonta,Creodonta,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,52.1,47.9,9003080,9003.08,26,26000,NA,NA,NA,NA,NA,YPM 10073,literature,Bridgerian
Cynohyaenodon_cayluxi,Cy_ca,Eocene,Eocene archaic taxa,middle to late Eocene,middle Eocene,Creodonta,Creodonta,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,40.1,37,1358890,1358.89,8.3,8300,500,NA,NA,6.024096386,NA,MH (809) - Jerison 1973,literature,MP 16-17b
Pterodon_dasyuroides,Pt_da,Eocene,Eocene archaic taxa,late Eocene,late Eocene,Creodonta,Creodonta,Eocene archaic taxa,late Eocene,Omnivorous-Carnivorous,37,33.75,84491330,84491.33,60,60000,NA,NA,NA,NA,NA,MH (809) - Jerison 1973,literature,Headonian (MP18-MP20)
Hyaenodon_horridus,Hy_ho,Eocene,Eocene archaic taxa,late Eocene-early Oligocene,late Eocene,Creodonta,Creodonta,Eocene archaic taxa,late Eocene,Omnivorous-Carnivorous,39.8,29.7,34357400,34357.4,85,85000,7000,NA,NA,8.235294118,NA,AMNH 94760; FMNH 12723; PU 10043,literature,Duchesnean-Whitneyan
